Product Link,Title,Category,Price,Color,Size,Description,Pictures
https://www.yoox.com/us/30366631RR/item#dept=clothingmen&queryID=8895446d80e0f5e779236d76b6f9f558,AMIRI,DENIM PANTS,$332,Black,,"denim, distressed, brand logo, leather trims, solid color, colored wash, zipper fastening, 1 button, multipockets, stretch, do not wash, do not bleach, do not tumble dry, do not iron, contains non-textile parts of animal origin","https://www.yoox.com/images/items/30/30366631RR_10_f.jpg, https://www.yoox.com/images/items/30/30366631RR_10_r.jpg"
https://www.yoox.com/us/49956832PN/item#dept=clothingmen&queryID=84ebd60d4c23452eacfb3b7ba0fdba40,BRUNELLO CUCINELLI,BLAZERS,"$1,025",Navy,,"flannel, no appliqués, tartan pattern, lapel collar, long sleeves, buttoned cuffs, unlined, button fastenings, multipockets, dual back vents, contains non-textile parts of animal origin, dry clean, do not bleach, do not tumble dry, single-breasted blazer","https://www.yoox.com/images/items/49/49956832PN_10_f.jpg, https://www.yoox.com/images/items/49/49956832PN_10_r.jpg, https://www.yoox.com/images/items/49/49956832PN_10_e.jpg, https://www.yoox.com/images/items/49/49956832PN_10_a.jpg"
https://www.yoox.com/us/10192076TF/item#dept=clothingmen&queryID=927cac17bdfbff00f3b9358db530d280,8 by YOOX,PATTERNED SHIRTS,$35,Purple,"S, M, L","This shirt from 8 by YOOX will be your go-to for transitional weather, thanks to a lightweight fabric and bold paisley print. The relaxed fit easily complements denim or linen pants. The model is wearing an Italian size M/48. This garment contains a Digital ID, meaning you can discover a world of exclusive content about your piece; scan the QR code on the item's care label.","https://www.yoox.com/images/items/10/10192076TF_10_f.jpg, https://www.yoox.com/images/items/10/10192076TF_10_r.jpg, https://www.yoox.com/images/items/10/10192076TF_10_d.jpg, https://www.yoox.com/images/items/10/10192076TF_10_e.jpg, https://www.yoox.com/images/items/10/10192076TF_10_a.jpg"
https://www.yoox.com/us/12535527GP/item#dept=clothingmen&queryID=505f6848ac8302680fc36b10e4decab9,MOSCHINO,POLO SHIRTS,$79,Orange,"34, 36, 46","piqué, logo, solid color, polo collar, short sleeves, front closure, button closing, no pockets, contains non-textile parts of animal origin","https://www.yoox.com/images/items/12/12535527GP_10_f.jpg, https://www.yoox.com/images/items/12/12535527GP_10_r.jpg, https://www.yoox.com/images/items/12/12535527GP_10_d.jpg, https://www.yoox.com/images/items/12/12535527GP_10_a.jpg"
https://www.yoox.com/us/16381250PW/item#dept=clothingmen&queryID=8895446d80e0f5e779236d76b6f9f558,POLO RALPH LAUREN,JACKETS,$268,Military green,"S, M, L","quilted jacket, shell, corduroy, brand logo, two-tone, classic collar, single-breasted , long sleeves, buttoned cuffs, synthetic filling, button fastenings, multipockets, machine wash, tumble dry, do not iron","https://www.yoox.com/images/items/16/16381250PW_10_f.jpg, https://www.yoox.com/images/items/16/16381250PW_10_r.jpg, https://www.yoox.com/images/items/16/16381250PW_10_d.jpg, https://www.yoox.com/images/items/16/16381250PW_10_a.jpg"
https://www.yoox.com/us/30135638LS/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,DSQUARED2,DENIM PANTS,$297,Blue,"28, 30, 34","denim, stained effect, brand logo, solid color, medium wash, high waisted, tapered leg, regular fit, unlined, button closing, five pockets, stretch, contains non-textile parts of animal origin, skinny model","https://www.yoox.com/images/items/30/30135638LS_10_f.jpg, https://www.yoox.com/images/items/30/30135638LS_10_r.jpg, https://www.yoox.com/images/items/30/30135638LS_10_d.jpg, https://www.yoox.com/images/items/30/30135638LS_10_a.jpg"
https://www.yoox.com/us/14413281VX/item#dept=clothingmen&queryID=927cac17bdfbff00f3b9358db530d280,GIORGIO ARMANI,SWEATERS,$250,Beige,"42, 46","knitted, lightweight knit, no appliqués, solid color, crewneck, long sleeves, no pockets, large sized","https://www.yoox.com/images/items/14/14413281VX_10_f.jpg, https://www.yoox.com/images/items/14/14413281VX_10_r.jpg, https://www.yoox.com/images/items/14/14413281VX_10_d.jpg, https://www.yoox.com/images/items/14/14413281VX_10_a.jpg"
https://www.yoox.com/us/10541749TQ/item#dept=clothingmen&queryID=754eb256a709a9245e0115ffbf0334b8,EA7,HOODED SWEATSHIRTS,$132,Black,"XXS, M","fleece, side seam stripes, brand logo, solid color with appliqués, hooded, long sleeves, zipper fastening, multipockets, machine wash, do not bleach, do not tumble dry","https://www.yoox.com/images/items/10/10541749TQ_10_f.jpg, https://www.yoox.com/images/items/10/10541749TQ_10_r.jpg, https://www.yoox.com/images/items/10/10541749TQ_10_d.jpg, https://www.yoox.com/images/items/10/10541749TQ_10_a.jpg"
https://www.yoox.com/us/30297106BQ/item#dept=clothingmen&queryID=84ebd60d4c23452eacfb3b7ba0fdba40,VERSACE,SHORTS & BERMUDA,$267,Blue,"30, 32, 34, 36","twill, no appliqués, signature print, high waisted, regular fit, multipockets, designed for a loose fit, casual shorts","https://www.yoox.com/images/items/30/30297106BQ_10_f.jpg, https://www.yoox.com/images/items/30/30297106BQ_10_r.jpg, https://www.yoox.com/images/items/30/30297106BQ_10_d.jpg, https://www.yoox.com/images/items/30/30297106BQ_10_a.jpg"
https://www.yoox.com/us/30286422TI/item#dept=clothingmen&queryID=36dd5fdb82191d81ef908f3e083cdb0a,DIESEL,DENIM PANTS,$140,Blue,"28W, 30L, 29W, 30L, 30W, 30L, 31W, 30L, 32W, 30L, 33W, 30L, 34W, 30L, , ","denim, brand logo, solid color, dark wash, mid rise, belt loops, tapered leg, regular fit, button fastenings, multipockets, machine wash, do not tumble dry, do not bleach, model: 2023 d-finitive, straight-leg model","https://www.yoox.com/images/items/30/30286422TI_10_f.jpg, https://www.yoox.com/images/items/30/30286422TI_10_r.jpg, https://www.yoox.com/images/items/30/30286422TI_10_d.jpg, https://www.yoox.com/images/items/30/30286422TI_10_a.jpg"
https://www.yoox.com/us/12543657QU/item#dept=clothingmen&queryID=927cac17bdfbff00f3b9358db530d280,COMME des GARÇONS PLAY,T-SHIRTS,$64,Orange,,"jersey, contrasting applications, stripes, round collar, long sleeves, no pockets","https://www.yoox.com/images/items/12/12543657QU_10_f.jpg, https://www.yoox.com/images/items/12/12543657QU_10_r.jpg, https://www.yoox.com/images/items/12/12543657QU_10_d.jpg, https://www.yoox.com/images/items/12/12543657QU_10_a.jpg"
https://www.yoox.com/us/10470327MJ/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,DOLCE&GABBANA,T-SHIRTS,$287,Black,"32, 34, 36","printed t-shirt, jersey, french terry, multicolor, brand logo, v-neck, short sleeves, fully lined, machine wash or dry clean, do not bleach, do not tumble dry, this brand runs large","https://www.yoox.com/images/items/10/10470327MJ_10_f.jpg, https://www.yoox.com/images/items/10/10470327MJ_10_r.jpg, https://www.yoox.com/images/items/10/10470327MJ_10_d.jpg, https://www.yoox.com/images/items/10/10470327MJ_10_a.jpg"
https://www.yoox.com/us/30355917AC/item#dept=clothingmen&queryID=8895446d80e0f5e779236d76b6f9f558,MARNI,CASUAL PANTS,$210,Rust,"28, 30, 32, 34, 36","casual pants, corduroy, brand logo, solid color, high waisted, belt loops, flared leg, regular fit, 1 button, zipper fastening, multipockets, machine wash, do not tumble dry, this brand runs large","https://www.yoox.com/images/items/30/30355917AC_10_f.jpg, https://www.yoox.com/images/items/30/30355917AC_10_r.jpg, https://www.yoox.com/images/items/30/30355917AC_10_d.jpg, https://www.yoox.com/images/items/30/30355917AC_10_a.jpg"
https://www.yoox.com/us/16366259IR/item#dept=clothingmen&queryID=8895446d80e0f5e779236d76b6f9f558,VERSACE JEANS COUTURE,DENIM JACKETS,$225,Black,"36, 38, 40, 42","denim, brand logo, solid color, colored wash, crewneck, single-breasted , long sleeves, internal quilting, snap fastenings, multipockets, stretch, machine wash or dry clean, do not bleach, do not tumble dry, denim bomber jacket","https://www.yoox.com/images/items/16/16366259IR_10_f.jpg, https://www.yoox.com/images/items/16/16366259IR_10_r.jpg, https://www.yoox.com/images/items/16/16366259IR_10_d.jpg, https://www.yoox.com/images/items/16/16366259IR_10_a.jpg"
https://www.yoox.com/us/10497175PG/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,THOM BROWNE,CHECKED SHIRTS,$261,White,,"slim-fit shirt, woven, brand logo, checked, button-down collar, long sleeves, buttoned cuffs, button fastenings, one chest pocket, machine wash or dry clean, do not bleach","https://www.yoox.com/images/items/10/10497175PG_10_f.jpg, https://www.yoox.com/images/items/10/10497175PG_10_r.jpg, https://www.yoox.com/images/items/10/10497175PG_10_d.jpg, https://www.yoox.com/images/items/10/10497175PG_10_a.jpg"
https://www.yoox.com/us/16200750ET/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,SAINT LAURENT,JACKETS,"$2,228",Black,,"leather, brand logo, solid color, classic neckline, single-breasted , long sleeves, fully lined, button closing, multipockets, pocket with buttons, contains non-textile parts of animal origin, generic outerwear, small sized","https://www.yoox.com/images/items/16/16200750ET_10_f.jpg, https://www.yoox.com/images/items/16/16200750ET_10_r.jpg, https://www.yoox.com/images/items/16/16200750ET_10_e.jpg, https://www.yoox.com/images/items/16/16200750ET_10_a.jpg"
https://www.yoox.com/us/14479151FT/item#dept=clothingmen&queryID=8895446d80e0f5e779236d76b6f9f558,EMPORIO ARMANI,SWEATERS,$262,Green,"XXS, XS, M","knitted, medium-weight knit, embroidered logo, logo-print, crewneck, long sleeves, without pockets, machine wash, do not bleach, do not tumble dry","https://www.yoox.com/images/items/14/14479151FT_10_f.jpg, https://www.yoox.com/images/items/14/14479151FT_10_r.jpg, https://www.yoox.com/images/items/14/14479151FT_10_d.jpg, https://www.yoox.com/images/items/14/14479151FT_10_a.jpg"
https://www.yoox.com/us/16295186IR/item#dept=clothingmen&queryID=36dd5fdb82191d81ef908f3e083cdb0a,BURBERRY,JACKETS,$538,Ivory,,"shell, brand logo, solid color, hooded, single-breasted , long sleeves, synthetic filling, zipper fastening, multipockets, machine wash, do not bleach, do not tumble dry, do not iron, casual jacket","https://www.yoox.com/images/items/16/16295186IR_10_f.jpg, https://www.yoox.com/images/items/16/16295186IR_10_r.jpg, https://www.yoox.com/images/items/16/16295186IR_10_d.jpg, https://www.yoox.com/images/items/16/16295186IR_10_a.jpg"
https://www.yoox.com/us/12800095QN/item#dept=clothingmen&queryID=a0dce027a1ec6453b25b71ef2e0679d8,IHS,HOODED SWEATSHIRTS,$51,Red,"XXS, XS, S, XL, XXL","sweatshirt fleece, brand logo, solid colour with appliqués, hooded collar, long sleeves, french terry lining, single pocket","https://www.yoox.com/images/items/12/12800095QN_10_f.jpg, https://www.yoox.com/images/items/12/12800095QN_10_r.jpg, https://www.yoox.com/images/items/12/12800095QN_10_d.jpg, https://www.yoox.com/images/items/12/12800095QN_10_a.jpg"
https://www.yoox.com/us/49877641PK/item#dept=clothingmen&queryID=36a38a35455dca569ccbf2d438dbf3e2,DSQUARED2,BLAZERS,$438,Blue,38,"velvet, stained effect, brand logo, leather applications, two-tone, lapel collar, single-breasted , long sleeves, fully lined, button closing, multipockets, contains non-textile parts of animal origin, single-breasted jacket","https://www.yoox.com/images/items/49/49877641PK_10_f.jpg, https://www.yoox.com/images/items/49/49877641PK_10_r.jpg, https://www.yoox.com/images/items/49/49877641PK_10_e.jpg, https://www.yoox.com/images/items/49/49877641PK_10_a.jpg"
https://www.yoox.com/us/10325953PK/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,MOSCHINO,T-SHIRTS,$87,Black,"XS, S","jersey, brand logo, designer's motif, hooded, short sleeves, no pockets, stretch","https://www.yoox.com/images/items/10/10325953PK_10_f.jpg, https://www.yoox.com/images/items/10/10325953PK_10_r.jpg, https://www.yoox.com/images/items/10/10325953PK_10_d.jpg, https://www.yoox.com/images/items/10/10325953PK_10_a.jpg"
https://www.yoox.com/us/16194678NN/item#dept=clothingmen&queryID=de6ce6ef4e6a809b0ef2e1bde7b692d1,RRD,JACKETS,$136,Light grey,"44, 46","techno fabric, brand logo, solid color, turtleneck, single-breasted , long sleeves, unlined, zipper closure, multipockets, pocket with zipper, stretch, generic outerwear","https://www.yoox.com/images/items/16/16194678NN_10_f.jpg, https://www.yoox.com/images/items/16/16194678NN_10_r.jpg, https://www.yoox.com/images/items/16/16194678NN_10_d.jpg, https://www.yoox.com/images/items/16/16194678NN_10_a.jpg"
https://www.yoox.com/us/14429510WM/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,MOSCHINO,SWEATERS,$200,Blue,"36, 38, 40","knitted, lightweight knit, brand logo, two-tone, crewneck, long sleeves, no pockets","https://www.yoox.com/images/items/14/14429510WM_10_f.jpg, https://www.yoox.com/images/items/14/14429510WM_10_r.jpg, https://www.yoox.com/images/items/14/14429510WM_10_d.jpg, https://www.yoox.com/images/items/14/14429510WM_10_a.jpg"
https://www.yoox.com/us/30261917NP/item#dept=clothingmen&queryID=36a38a35455dca569ccbf2d438dbf3e2,ROBERTO CAVALLI,5-POCKET,$268,Military green,"31, 32, 33, 34, 36","denim, flocked, brand logo, multicolor, mid rise, tapered leg, regular fit, hidden buttons, five pockets, stretch, 5 pocket","https://www.yoox.com/images/items/30/30261917NP_10_f.jpg, https://www.yoox.com/images/items/30/30261917NP_10_r.jpg, https://www.yoox.com/images/items/30/30261917NP_10_d.jpg, https://www.yoox.com/images/items/30/30261917NP_10_a.jpg"
https://www.yoox.com/us/30280721QT/item#dept=clothingmen&queryID=de6ce6ef4e6a809b0ef2e1bde7b692d1,DSQUARED2,DENIM PANTS,$237,Blue,"28, 30, 32, 34, 36, 38, 40","denim, faded, brand logo, metal applications, solid color, medium wash, mid rise, tapered leg, regular fit, button fastenings, multipockets, skinny model","https://www.yoox.com/images/items/30/30280721QT_10_f.jpg, https://www.yoox.com/images/items/30/30280721QT_10_r.jpg, https://www.yoox.com/images/items/30/30280721QT_10_d.jpg, https://www.yoox.com/images/items/30/30280721QT_10_a.jpg"
https://www.yoox.com/us/13594261KL/item#dept=clothingmen&queryID=84ebd60d4c23452eacfb3b7ba0fdba40,DOLCE&GABBANA,CASUAL PANTS,$397,Black,"28, 30, 32, 34","sweatshirt fleece, velvet, solid color, no appliqués, high waisted, comfort fit, tapered leg, drawstring closure, multipockets, contains non-textile parts of animal origin","https://www.yoox.com/images/items/13/13594261KL_10_f.jpg, https://www.yoox.com/images/items/13/13594261KL_10_r.jpg, https://www.yoox.com/images/items/13/13594261KL_10_d.jpg, https://www.yoox.com/images/items/13/13594261KL_10_a.jpg"
https://www.yoox.com/us/10530301OV/item#dept=clothingmen&queryID=91c2eea43b7f6c8b25505df0a516b8d3,SANDRO x WRANGLER,DENIM JACKETS,$184,Blue,"S, M, L","denim trucker jacket, denim, faded, brand logo, solid color, medium wash, classic collar, long sleeves, buttoned cuffs, unlined, zipper fastening, 1 button, multipockets, machine wash or dry clean, do not bleach, do not tumble dry","https://www.yoox.com/images/items/10/10530301OV_10_f.jpg, https://www.yoox.com/images/items/10/10530301OV_10_r.jpg, https://www.yoox.com/images/items/10/10530301OV_10_d.jpg, https://www.yoox.com/images/items/10/10530301OV_10_a.jpg"
https://www.yoox.com/us/30332598LJ/item#dept=clothingmen&queryID=91c2eea43b7f6c8b25505df0a516b8d3,CASABLANCA,SHORTS & BERMUDA,$191,Green,,"twill, no appliqués, striped, high waisted, drawstring waist, multipockets, dry clean, do not bleach, do not tumble dry, do not iron, casual shorts","https://www.yoox.com/images/items/30/30332598LJ_10_f.jpg, https://www.yoox.com/images/items/30/30332598LJ_10_r.jpg, https://www.yoox.com/images/items/30/30332598LJ_10_d.jpg, https://www.yoox.com/images/items/30/30332598LJ_10_a.jpg"
https://www.yoox.com/us/13646882NI/item#dept=clothingmen&queryID=91c2eea43b7f6c8b25505df0a516b8d3,OFF-WHITE™,CASUAL PANTS,$154,Black,,"cool wool, brand logo, high waisted, solid color, regular fit, straight leg, hook-and-eye closure, zipper closure, multipockets","https://www.yoox.com/images/items/13/13646882NI_10_f.jpg, https://www.yoox.com/images/items/13/13646882NI_10_r.jpg, https://www.yoox.com/images/items/13/13646882NI_10_d.jpg, https://www.yoox.com/images/items/13/13646882NI_10_a.jpg"
https://www.yoox.com/us/16261775EV/item#dept=clothingmen&queryID=754eb256a709a9245e0115ffbf0334b8,JACQUEMUS,COATS,$844,Beige,,"plain weave, brand logo, solid color, hooded collar, single-breasted , long sleeves, internal padding, zipper closure, button closing, multipockets, parka","https://www.yoox.com/images/items/16/16261775EV_10_f.jpg, https://www.yoox.com/images/items/16/16261775EV_10_r.jpg, https://www.yoox.com/images/items/16/16261775EV_10_e.jpg, https://www.yoox.com/images/items/16/16261775EV_10_a.jpg"
https://www.yoox.com/us/13898062NT/item#dept=clothingmen&queryID=754eb256a709a9245e0115ffbf0334b8,BERNA,SHORTS & BERMUDA,$24,Green,"S, M, L, XL","sweatshirt fleece, brand logo, solid color with print, high waisted, straight leg, comfort fit, french terry lining, multipockets, sporty","https://www.yoox.com/images/items/13/13898062NT_10_f.jpg, https://www.yoox.com/images/items/13/13898062NT_10_r.jpg, https://www.yoox.com/images/items/13/13898062NT_10_d.jpg, https://www.yoox.com/images/items/13/13898062NT_10_a.jpg"
https://www.yoox.com/us/13873820MW/item#dept=clothingmen&queryID=8a03da67d52e9417fdcc2a01b28f499d,THE GIGI,CASUAL PANTS,$100,Cream,"28, 32, 38","plain weave, darts, solid color, tapered leg, zipper closure, 1 button, multipockets, unlined, mid rise, regular fit, chinos","https://www.yoox.com/images/items/13/13873820MW_10_f.jpg, https://www.yoox.com/images/items/13/13873820MW_10_r.jpg, https://www.yoox.com/images/items/13/13873820MW_10_d.jpg, https://www.yoox.com/images/items/13/13873820MW_10_a.jpg"
https://www.yoox.com/us/30116051II/item#dept=clothingmen&queryID=927cac17bdfbff00f3b9358db530d280,DOLCE&GABBANA,CASUAL PANTS,$215,Military green,"28, 30","techno fabric, laminated effect, no appliqués, solid color, high waisted, tapered leg, regular fit, zipper closure, multipockets, stretch, tailored","https://www.yoox.com/images/items/30/30116051II_10_f.jpg, https://www.yoox.com/images/items/30/30116051II_10_r.jpg, https://www.yoox.com/images/items/30/30116051II_10_d.jpg, https://www.yoox.com/images/items/30/30116051II_10_a.jpg"
https://www.yoox.com/us/30303493MA/item#dept=clothingmen&queryID=91c2eea43b7f6c8b25505df0a516b8d3,BALMAIN,DENIM PANTS,$382,Blue,"30, 31, 32","straight-leg jeans, denim, jacquard, brand logo, checked, medium wash, high waisted, regular fit, button fastenings, multipockets, machine wash or dry clean, do not bleach, do not tumble dry","https://www.yoox.com/images/items/30/30303493MA_10_f.jpg, https://www.yoox.com/images/items/30/30303493MA_10_r.jpg, https://www.yoox.com/images/items/30/30303493MA_10_d.jpg, https://www.yoox.com/images/items/30/30303493MA_10_a.jpg"
https://www.yoox.com/us/49848034TJ/item#dept=clothingmen&queryID=505f6848ac8302680fc36b10e4decab9,Z ZEGNA,SUIT,$527,Midnight blue,,"satin, flannel, single-breasted jacket, large sized","https://www.yoox.com/images/items/49/49848034TJ_10_f.jpg, https://www.yoox.com/images/items/49/49848034TJ_10_r.jpg, https://www.yoox.com/images/items/49/49848034TJ_10_e.jpg, https://www.yoox.com/images/items/49/49848034TJ_10_a.jpg"
https://www.yoox.com/us/10320615UM/item#dept=clothingmen&queryID=8a03da67d52e9417fdcc2a01b28f499d,DIESEL,T-SHIRTS,$72,Azure,,"printed t-shirt, jersey, solid color with print, brand logo, crewneck, short sleeves, machine wash, do not tumble dry","https://www.yoox.com/images/items/10/10320615UM_10_f.jpg, https://www.yoox.com/images/items/10/10320615UM_10_r.jpg, https://www.yoox.com/images/items/10/10320615UM_10_d.jpg, https://www.yoox.com/images/items/10/10320615UM_10_a.jpg"
https://www.yoox.com/us/16246324TH/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,ESEMPLARE,SHELL JACKETS,$196,Black,"S, M, L, XXL","techno fabric, quilted, print, solid color, neckline with removable hood, single-breasted , long sleeves, ribbed cuffs, internal padding, snap buttons fastening, zipper closure, multipockets, drawstring hem, stretch, single-breasted jacket","https://www.yoox.com/images/items/16/16246324TH_10_f.jpg, https://www.yoox.com/images/items/16/16246324TH_10_r.jpg, https://www.yoox.com/images/items/16/16246324TH_10_d.jpg, https://www.yoox.com/images/items/16/16246324TH_10_a.jpg"
https://www.yoox.com/us/10420787NX/item#dept=clothingmen&queryID=8895446d80e0f5e779236d76b6f9f558,DSQUARED2,T-SHIRTS,$126,Charcoal,"S, M","jersey, faded, no appliqués, solid color with print, crewneck, short sleeves, no pockets, logo-print t-shirt","https://www.yoox.com/images/items/10/10420787NX_10_f.jpg, https://www.yoox.com/images/items/10/10420787NX_10_r.jpg, https://www.yoox.com/images/items/10/10420787NX_10_d.jpg, https://www.yoox.com/images/items/10/10420787NX_10_a.jpg"
https://www.yoox.com/us/30345324TB/item#dept=clothingmen&queryID=2fde65b7d85e51e19725d90b9482182d,GIORGIO ARMANI,CASUAL PANTS,$228,Midnight blue,,"jersey, embroidered, solid color, high waisted, drawstring waist, relaxed fit, multipockets, hand wash, do not bleach, do not tumble dry, track pants, this brand runs large","https://www.yoox.com/images/items/30/30345324TB_10_f.jpg, https://www.yoox.com/images/items/30/30345324TB_10_r.jpg, https://www.yoox.com/images/items/30/30345324TB_10_d.jpg, https://www.yoox.com/images/items/30/30345324TB_10_a.jpg"
https://www.yoox.com/us/30234092BO/item#dept=clothingmen&queryID=36a38a35455dca569ccbf2d438dbf3e2,AMIRI,DENIM PANTS,"$1,006",Blue,"29, 38","denim, torn fabric, brand logo, solid color with appliqués, medium wash, mid rise, belt loops, slim-leg pants, partially lined interior, five pockets, stretch, skinny model","https://www.yoox.com/images/items/30/30234092BO_10_f.jpg, https://www.yoox.com/images/items/30/30234092BO_10_r.jpg, https://www.yoox.com/images/items/30/30234092BO_10_d.jpg, https://www.yoox.com/images/items/30/30234092BO_10_a.jpg"
